"ID","Раздел","Направления и эффект","Уровень","Название асаны в оригинале","Транслитерация на русском","Популярное название на русском","Объяснение выполнения","Минуты","Противопоказания и ограничения","Текст для озвучивания","Как встроить перед асаной","Как выйти или компенсировать","Картинка визуализация","Заметки"
"AS011","Стоячие базовые","осанка","начальный","Tadasana","Тадасана","поза горы","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в поза горы. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS011.svg","v1 каталог, строка расширяема"
"AS012","Стоячие базовые","вытяжение корпуса","начальный","Urdhva Hastasana","Урдхва Хастасана","руки вверх","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в руки вверх. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS012.svg","v1 каталог, строка расширяема"
"AS013","Наклоны вперед","задняя поверхность бедра","начальный","Uttanasana","Уттанасана","наклон стоя","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в наклон стоя. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS013.svg","v1 каталог, строка расширяема"
"AS014","Наклоны вперед","спина и переходы","начальный","Ardha Uttanasana","Ардха Уттанасана","полунаклон","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в полунаклон. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS014.svg","v1 каталог, строка расширяема"
"AS015","Виньяса и выпады","тазобедренные","начальный","Ashwa Sanchalanasana","Ашва Санчаланасана","низкий выпад","Поставьте опоры устойчиво, следите за передним коленом над пяткой. Переход выполняйте на дыхании, без провала в пояснице.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в низкий выпад. Поставьте опоры устойчиво, следите за передним коленом над пяткой. Переход выполняйте на дыхании, без провала в пояснице. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS015.svg","v1 каталог, строка расширяема"
"AS016","Виньяса и выпады","передняя линия бедра","начальный","Anjaneyasana","Анджанейасана","низкий выпад с руками вверх","Поставьте опоры устойчиво, следите за передним коленом над пяткой. Переход выполняйте на дыхании, без провала в пояснице.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в низкий выпад с руками вверх. Поставьте опоры устойчиво, следите за передним коленом над пяткой. Переход выполняйте на дыхании, без провала в пояснице. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS016.svg","v1 каталог, строка расширяема"
"AS017","Сила и центр","кор и плечи","начальный","Phalakasana","Пхалакасана","планка","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в планка. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS017.svg","v1 каталог, строка расширяема"
"AS018","Виньяса и выпады","координация","начальный","Ashtanga Namaskara","Аштанга Намаскара","восемь точек","Поставьте опоры устойчиво, следите за передним коленом над пяткой. Переход выполняйте на дыхании, без провала в пояснице.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в восемь точек. Поставьте опоры устойчиво, следите за передним коленом над пяткой. Переход выполняйте на дыхании, без провала в пояснице. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS018.svg","v1 каталог, строка расширяема"
"AS019","Сила и центр","руки и кор","средний","Chaturanga Dandasana","Чатуранга Дандасана","посох на четырех опорах","Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно.","3","боль в запястьях, плечах, беременность","Войдите в посох на четырех опорах. Соберите центр, толкайте опору руками или стопами, сохраняйте длинную шею. Удерживайте коротко и качественно. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS019.svg","v1 каталог, строка расширяема"
"AS020","Прогибы","грудь","средний","Urdhva Mukha Svanasana","Урдхва Мукха Шванасана","собака мордой вверх","Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте.","3","боль в пояснице, шее, высокое давление","Войдите в собака мордой вверх. Разогрейте бедра и грудной отдел. Направляйте грудину вверх, живот и ноги активны, поясницу не сжимайте. Дышите ровно. Выход: компенсировать мягким наклоном, Balasana или Apanasana.","после раскрытия грудного отдела и бедер","компенсировать мягким наклоном, Balasana или Apanasana","visuals/AS020.svg","v1 каталог, строка расширяема"
"AS021","Виньяса и вытяжение","задняя линия","начальный","Adho Mukha Svanasana","Адхо Мукха Шванасана","собака мордой вниз","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в собака мордой вниз. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS021.svg","v1 каталог, строка расширяема"
"AS022","Стоячие силовые","ноги и таз","начальный","Virabhadrasana I","Вирабхадрасана I","воин I","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","боль в коленях, тазобедренных, мениски","Войдите в воин I. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS022.svg","v1 каталог, строка расширяема"
"AS023","Стоячие силовые","ноги и жар","начальный","Utkatasana","Уткатасана","стул","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в стул. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS023.svg","v1 каталог, строка расширяема"
"AS024","Балансы стоя","баланс","начальный","Vrikshasana","Врикшасана","дерево","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в дерево. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS024.svg","v1 каталог, строка расширяема"
"AS025","Балансы стоя","баланс и бедра","средний","Garudasana","Гарудасана","орел","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в орел. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS025.svg","v1 каталог, строка расширяема"
"AS026","Стоячие вытяжения","бока и ноги","начальный","Utthita Trikonasana","Уттхита Триконасана","треугольник","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в треугольник. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS026.svg","v1 каталог, строка расширяема"
"AS027","Скрутки","скрутка и ноги","средний","Parivrtta Trikonasana","Паривритта Триконасана","скрученный треугольник","На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный.","3","беременность, острые боли поясницы, менструация при дискомфорте","Войдите в скрученный треугольник. На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после нейтрального выравнивания и спокойного дыхания","вернуться в центр и повторить симметрично","visuals/AS027.svg","v1 каталог, строка расширяема"
"AS028","Стоячие вытяжения","бока и таз","начальный","Utthita Parsvakonasana","Уттхита Паршваконасана","боковой угол","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в боковой угол. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS028.svg","v1 каталог, строка расширяема"
"AS029","Скрутки","корпус","средний","Parivrtta Parsvakonasana","Паривритта Паршваконасана","скрученный боковой угол","На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный.","3","беременность, острые боли поясницы, менструация при дискомфорте","Войдите в скрученный боковой угол. На вдохе вытяните позвоночник, на выдохе разворачивайтесь от грудного отдела. Живот не зажимайте, рычаг руками минимальный. Дышите ровно. Выход: вернуться в центр и повторить симметрично.","после нейтрального выравнивания и спокойного дыхания","вернуться в центр и повторить симметрично","visuals/AS029.svg","v1 каталог, строка расширяема"
"AS030","Стоячие силовые","ноги и устойчивость","начальный","Virabhadrasana II","Вирабхадрасана II","воин II","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","боль в коленях, тазобедренных, мениски","Войдите в воин II. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS030.svg","v1 каталог, строка расширяема"
"AS031","Балансы стоя","задняя линия","средний","Virabhadrasana III","Вирабхадрасана III","воин III","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","боль в коленях, тазобедренных, мениски","Войдите в воин III. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS031.svg","v1 каталог, строка расширяема"
"AS032","Наклоны вперед","задняя линия","начальный","Parsvottanasana","Паршвоттанасана","интенсивное боковое вытяжение","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в интенсивное боковое вытяжение. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS032.svg","v1 каталог, строка расширяема"
"AS033","Наклоны вперед","внутренняя поверхность ног","начальный","Prasarita Padottanasana","Прасарита Падоттанасана","широкий наклон стоя","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в широкий наклон стоя. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS033.svg","v1 каталог, строка расширяема"
"AS034","Балансы стоя","баланс и грудь","средний","Ardha Chandrasana","Ардха Чандрасана","полумесяц","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в полумесяц. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS034.svg","v1 каталог, строка расширяема"
"AS035","Балансы стоя","баланс и скрутка","продвинутый","Parivrtta Ardha Chandrasana","Паривритта Ардха Чандрасана","скрученный полумесяц","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","2","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в скрученный полумесяц. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS035.svg","v1 каталог, строка расширяема"
"AS036","Балансы стоя","передняя линия","средний","Natarajasana","Натараджасана","танцор","Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в танцор. Заземлите стопы, выровняйте таз и удлините корпус. Колено направляйте по линии стопы, взгляд мягко фиксируйте. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS036.svg","v1 каталог, строка расширяема"
"AS037","Таз и приседания","таз и стопы","начальный","Malasana","Маласана","гирлянда","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в гирлянда. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS037.svg","v1 каталог, строка расширяема"
"AS038","Таз и приседания","приводящие мышцы","средний","Skandasana","Скандасана","боковой выпад","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в боковой выпад. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS038.svg","v1 каталог, строка расширяема"
"AS039","Наклоны вперед","стопы и задняя линия","начальный","Padangusthasana","Падангуштхасана","захват больших пальцев ног","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в захват больших пальцев ног. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS039.svg","v1 каталог, строка расширяема"
"AS040","Наклоны вперед","запястья и задняя линия","средний","Padahastasana","Падахастасана","ладони под стопами","Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное.","3","грыжи в обострении, ишиас, высокое давление при глубоком наклоне","Войдите в ладони под стопами. Сначала удлините позвоночник, затем наклоняйтесь от таза. Колени можно согнуть, живот направляйте к бедрам, дыхание спокойное. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после мягкой мобилизации таза и задней линии","вернуться в нейтраль и наблюдать дыхание","visuals/AS040.svg","v1 каталог, строка расширяема"
"AS041","Сидячие базовые","осанка","начальный","Dandasana","Дандасана","посох сидя","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в посох сидя. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS041.svg","v1 каталог, строка расширяема"
"AS042","Сидячие базовые","медитация","начальный","Sukhasana","Сукхасана","простая поза сидя","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в простая поза сидя. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS042.svg","v1 каталог, строка расширяема"
"AS043","Сидячие базовые","устойчивость","средний","Siddhasana","Сиддхасана","совершенная поза","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в совершенная поза. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS043.svg","v1 каталог, строка расширяема"
"AS044","Сидячие базовые","стопы и колени","начальный","Vajrasana","Ваджрасана","алмазная поза","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в алмазная поза. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS044.svg","v1 каталог, строка расширяема"
"AS045","Сидячие базовые","передняя линия бедра","начальный","Virasana","Вирасана","герой сидя","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в герой сидя. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS045.svg","v1 каталог, строка расширяема"
"AS046","Таз и раскрытие","пахи","начальный","Baddha Konasana","Баддха Конасана","бабочка","Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая.","3","боль в коленях, тазобедренных, мениски","Войдите в бабочка. Сядьте на опору при необходимости, двигайтесь от тазобедренных суставов. Колени не должны болеть, амплитуда мягкая. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS046.svg","v1 каталог, строка расширяема"
