ID,Оригинальное название,Транслитерация на русском,Популярное название,По слогам для чтения,Разбор по частям,Буквальный смысл,От чего произошло,Подсказка для запоминания,Раздел
AS011,Tadasana,Тадасана,поза горы,Та-да | А-са-на,"tada = гора; asana = сиденье, поза","гора + сиденье, поза","образ устойчивости и вертикальности; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: поза горы -> гора + часть названия требует ручной сверки,Стоячие базовые
AS012,Urdhva Hastasana,Урдхва Хастасана,руки вверх,Урд-хва | Хас-та | А-са-на,"urdhva = вверх, направленный вверх; hasta = рука, кисть; asana = сиденье, поза","вверх, направленный вверх + рука, кисть + сиденье, поза","указывает восходящее направление; используется в названиях положений рук; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: руки вверх -> вверх, направленный вверх + рука, кисть + часть названия требует ручной сверки",Стоячие базовые
AS013,Uttanasana,Уттанасана,наклон стоя,Ут-та-на | А-са-на,"uttana = интенсивное вытяжение; asana = сиденье, поза","интенсивное вытяжение + сиденье, поза","ut = интенсивно, tan = тянуть, вытягивать; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: наклон стоя -> интенсивное вытяжение + часть названия требует ручной сверки,Наклоны вперед
AS014,Ardha Uttanasana,Ардха Уттанасана,полунаклон,Ард-ха | Ут-та-на | А-са-на,"ardha = половина; uttana = интенсивное вытяжение; asana = сиденье, поза","половина + интенсивное вытяжение + сиденье, поза","указывает половинную или неполную форму; ut = интенсивно, tan = тянуть, вытягивать; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: полунаклон -> половина + интенсивное вытяжение + часть названия требует ручной сверки,Наклоны вперед
AS015,Ashwa Sanchalanasana,Ашва Санчаланасана,низкий выпад,Аш-ва | Сан-ча-ла-на | А-са-на,"ashwa = лошадь; sanchalana = движение, шаг, проведение; asana = сиденье, поза","лошадь + движение, шаг, проведение + сиденье, поза","образ всадника или конного шага; от идеи движения вперед или шага; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: низкий выпад -> лошадь + движение, шаг, проведение + часть названия требует ручной сверки",Виньяса и выпады
AS016,Anjaneyasana,Анджанейасана,низкий выпад с руками вверх,Ан-джа-не-я | А-са-на,"anjaneya = сын Анджаны, имя Ханумана; asana = сиденье, поза","сын Анджаны, имя Ханумана + сиденье, поза","эпитет Ханумана, рожденного Анджаной; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: низкий выпад с руками вверх -> сын Анджаны, имя Ханумана + часть названия требует ручной сверки",Виньяса и выпады
AS017,Phalakasana,Пхалакасана,планка,Пха-ла-ка | А-са-на,"phalaka = доска, планка; asana = сиденье, поза","доска, планка + сиденье, поза","форма прямой устойчивой доски; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: планка -> доска, планка + часть названия требует ручной сверки",Сила и центр
AS018,Ashtanga Namaskara,Аштанга Намаскара,восемь точек,Аш-та | Ан-га | На-мас-ка-ра,"ashta = восемь; anga = часть, конечность; namaskara = приветствие, поклон",восемь + частей тела + поклон,восемь точек касания как форма приветствия,Свяжите образ: восемь точек -> восемь + частей тела + поклон,Виньяса и выпады
AS019,Chaturanga Dandasana,Чатуранга Дандасана,посох на четырех опорах,Ча-тур | Ан-га | Дан-да-са-на,"chatur = четыре; anga = часть, конечность; dandasana = поза посоха","четыре + часть, конечность + поза посоха","число четыре; часть тела или опорная точка; danda = посох, asana = поза","Свяжите образ: посох на четырех опорах -> четыре + часть, конечность + поза посоха",Сила и центр
AS020,Urdhva Mukha Svanasana,Урдхва Мукха Шванасана,собака мордой вверх,Урд-хва | Мук-ха | Шва-на | А-са-на,"urdhva = вверх, направленный вверх; mukha = лицо, морда, направление; svana = собака; asana = сиденье, поза","вверх, направленный вверх + лицо, морда, направление + собака + сиденье, поза","указывает восходящее направление; указывает лицо/морду или направление позы; образ собаки в вытяжении; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: собака мордой вверх -> вверх, направленный вверх + лицо, морда, направление + собака + часть названия требует ручной сверки",Прогибы
AS021,Adho Mukha Svanasana,Адхо Мукха Шванасана,собака мордой вниз,Ад-хо | Мук-ха | Шва-на | А-са-на,"adho = вниз, направленный вниз; mukha = лицо, морда, направление; svana = собака; asana = сиденье, поза","вниз, направленный вниз + лицо, морда, направление + собака + сиденье, поза","указывает нисходящее направление; указывает лицо/морду или направление позы; образ собаки в вытяжении; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: собака мордой вниз -> вниз, направленный вниз + лицо, морда, направление + собака + часть названия требует ручной сверки",Виньяса и вытяжение
AS022,Virabhadrasana I,Вирабхадрасана I,воин I,Ви-ра | Бхад-ра | А-са-на,"vira = герой, воин; bhadra = благой, благородный, доблестный; asana = сиденье, поза","герой, воин + благой, благородный, доблестный + сиденье, поза","образ силы, мужества и устойчивости; качество благородной силы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: воин I -> герой, воин + благой, благородный, доблестный + часть названия требует ручной сверки",Стоячие силовые
AS023,Utkatasana,Уткатасана,стул,Ут-ка-та | А-са-на,"utkata = мощный, интенсивный, свирепый; asana = сиденье, поза","мощный, интенсивный, свирепый + сиденье, поза","передает напряженную силу формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: стул -> мощный, интенсивный, свирепый + часть названия требует ручной сверки",Стоячие силовые
AS024,Vrikshasana,Врикшасана,дерево,Врик-ша | А-са-на,"vriksha = дерево; asana = сиденье, поза","дерево + сиденье, поза","образ укорененности и роста вверх; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: дерево -> дерево + часть названия требует ручной сверки,Балансы стоя
AS025,Garudasana,Гарудасана,орел,Га-ру-да | А-са-на,"garuda = мифическая птица, орел; asana = сиденье, поза","мифическая птица, орел + сиденье, поза","Гаруда - птица из индийской мифологии; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: орел -> мифическая птица, орел + часть названия требует ручной сверки",Балансы стоя
AS026,Utthita Trikonasana,Уттхита Триконасана,треугольник,Ут-тхи-та | Три | Ко-на | А-са-на,"utthita = вытянутый, протянутый; tri = три; kona = угол; asana = сиденье, поза","вытянутый, протянутый + три + угол + сиденье, поза","от идеи вытяжения наружу; число три; геометрический угол формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: треугольник -> вытянутый, протянутый + три + угол + часть названия требует ручной сверки",Стоячие вытяжения
AS027,Parivrtta Trikonasana,Паривритта Триконасана,скрученный треугольник,Па-ри-врит-та | Три | Ко-на | А-са-на,"parivrtta = повернутый, скрученный; tri = три; kona = угол; asana = сиденье, поза","повернутый, скрученный + три + угол + сиденье, поза","от идеи вращения или разворота; число три; геометрический угол формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: скрученный треугольник -> повернутый, скрученный + три + угол + часть названия требует ручной сверки",Скрутки
AS028,Utthita Parsvakonasana,Уттхита Паршваконасана,боковой угол,Ут-тхи-та | Парш-ва | Ко-на | А-са-на,"utthita = вытянутый, протянутый; parsva = бок, сторона; kona = угол; asana = сиденье, поза","вытянутый, протянутый + бок, сторона + угол + сиденье, поза","от идеи вытяжения наружу; обозначает боковое положение или боковую линию; геометрический угол формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: боковой угол -> вытянутый, протянутый + бок, сторона + угол + часть названия требует ручной сверки",Стоячие вытяжения
AS029,Parivrtta Parsvakonasana,Паривритта Паршваконасана,скрученный боковой угол,Па-ри-врит-та | Парш-ва | Ко-на | А-са-на,"parivrtta = повернутый, скрученный; parsva = бок, сторона; kona = угол; asana = сиденье, поза","повернутый, скрученный + бок, сторона + угол + сиденье, поза","от идеи вращения или разворота; обозначает боковое положение или боковую линию; геометрический угол формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: скрученный боковой угол -> повернутый, скрученный + бок, сторона + угол + часть названия требует ручной сверки",Скрутки
AS030,Virabhadrasana II,Вирабхадрасана II,воин II,Ви-ра | Бхад-ра | А-са-на,"vira = герой, воин; bhadra = благой, благородный, доблестный; asana = сиденье, поза","герой, воин + благой, благородный, доблестный + сиденье, поза","образ силы, мужества и устойчивости; качество благородной силы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: воин II -> герой, воин + благой, благородный, доблестный + часть названия требует ручной сверки",Стоячие силовые
AS031,Virabhadrasana III,Вирабхадрасана III,воин III,Ви-ра | Бхад-ра | А-са-на,"vira = герой, воин; bhadra = благой, благородный, доблестный; asana = сиденье, поза","герой, воин + благой, благородный, доблестный + сиденье, поза","образ силы, мужества и устойчивости; качество благородной силы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: воин III -> герой, воин + благой, благородный, доблестный + часть названия требует ручной сверки",Балансы стоя
AS032,Parsvottanasana,Паршвоттанасана,интенсивное боковое вытяжение,Парш-ва | Ут-та-на | А-са-на,"parsva = бок, сторона; uttana = интенсивное вытяжение; asana = сиденье, поза",бок + интенсивное вытяжение + поза,боковое положение с сильным вытяжением задней линии,Свяжите образ: интенсивное боковое вытяжение -> бок + интенсивное вытяжение + поза,Наклоны вперед
AS033,Prasarita Padottanasana,Прасарита Падоттанасана,широкий наклон стоя,Пра-са-ри-та | Па-да | Ут-та-на | А-са-на,"prasarita = широко расставленный, расширенный; pada = стопа, нога; uttana = интенсивное вытяжение; asana = сиденье, поза",широко расставленные ноги + интенсивное вытяжение + поза,широкая стойка и наклон с вытяжением задней поверхности ног,Свяжите образ: широкий наклон стоя -> широко расставленные ноги + интенсивное вытяжение + поза,Наклоны вперед
AS034,Ardha Chandrasana,Ардха Чандрасана,полумесяц,Ард-ха | Чан-дра | А-са-на,"ardha = половина; chandra = луна; asana = сиденье, поза","половина + луна + сиденье, поза","указывает половинную или неполную форму; образ полумесяца или лунной дуги; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: полумесяц -> половина + луна + часть названия требует ручной сверки,Балансы стоя
AS035,Parivrtta Ardha Chandrasana,Паривритта Ардха Чандрасана,скрученный полумесяц,Па-ри-врит-та | Ард-ха | Чан-дра | А-са-на,"parivrtta = повернутый, скрученный; ardha = половина; chandra = луна; asana = сиденье, поза","повернутый, скрученный + половина + луна + сиденье, поза","от идеи вращения или разворота; указывает половинную или неполную форму; образ полумесяца или лунной дуги; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: скрученный полумесяц -> повернутый, скрученный + половина + луна + часть названия требует ручной сверки",Балансы стоя
AS036,Natarajasana,Натараджасана,танцор,На-та | Ра-джа | А-са-на,"nata = танцор, актер; raja = царь, король; asana = сиденье, поза","танцор, актер + царь, король + сиденье, поза","связан с образом танца; указывает величие или царскую форму; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: танцор -> танцор, актер + царь, король + часть названия требует ручной сверки",Балансы стоя
AS037,Malasana,Маласана,гирлянда,Ма-ла | А-са-на,"mala = гирлянда; asana = сиденье, поза","гирлянда + сиденье, поза","форма напоминает гирлянду или низкое сворачивание; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: гирлянда -> гирлянда + часть названия требует ручной сверки,Таз и приседания
AS038,Skandasana,Скандасана,боковой выпад,Скан-да | А-са-на,"skanda = Сканда, воинственное божество; asana = сиденье, поза","Сканда, воинственное божество + сиденье, поза","иногда связывается с выпадом в сторону и силой; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: боковой выпад -> Сканда, воинственное божество + часть названия требует ручной сверки",Таз и приседания
AS039,Padangusthasana,Падангуштхасана,захват больших пальцев ног,Па-дан-гуш-тха | А-са-на,"pada = стопа; angushtha = большой палец; asana = сиденье, поза",стопа + большой палец + поза,название указывает на захват больших пальцев ног,Свяжите образ: захват больших пальцев ног -> стопа + большой палец + поза,Наклоны вперед
AS040,Padahastasana,Падахастасана,ладони под стопами,Па-да | Хас-та | А-са-на,"pada = стопа, нога; hasta = рука, кисть; asana = сиденье, поза","стопа, нога + рука, кисть + сиденье, поза","опора или нога в названии; используется в названиях положений рук; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: ладони под стопами -> стопа, нога + рука, кисть + часть названия требует ручной сверки",Наклоны вперед
AS041,Dandasana,Дандасана,посох сидя,Дан-да-са-на,dandasana = поза посоха,поза посоха,"danda = посох, asana = поза",Свяжите образ: посох сидя -> поза посоха,Сидячие базовые
AS042,Sukhasana,Сукхасана,простая поза сидя,Сук-ха | А-са-на,"sukha = легкость, удобство, счастье; asana = сиденье, поза","легкость, удобство, счастье + сиденье, поза","качество удобного устойчивого сидения; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: простая поза сидя -> легкость, удобство, счастье + часть названия требует ручной сверки",Сидячие базовые
AS043,Siddhasana,Сиддхасана,совершенная поза,Сид-дха | А-са-на,"siddha = совершенный, достигший; asana = сиденье, поза","совершенный, достигший + сиденье, поза","образ завершенности и медитативной устойчивости; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: совершенная поза -> совершенный, достигший + часть названия требует ручной сверки",Сидячие базовые
AS044,Vajrasana,Ваджрасана,алмазная поза,Вадж-ра | А-са-на,"vajra = алмаз, молния; asana = сиденье, поза","алмаз, молния + сиденье, поза","символ устойчивости и силы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: алмазная поза -> алмаз, молния + часть названия требует ручной сверки",Сидячие базовые
AS045,Virasana,Вирасана,герой сидя,Ви-ра | А-са-на,"vira = герой, воин; asana = сиденье, поза","герой, воин + сиденье, поза","образ силы, мужества и устойчивости; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: герой сидя -> герой, воин + часть названия требует ручной сверки",Сидячие базовые
AS046,Baddha Konasana,Баддха Конасана,бабочка,Бад-дха | Ко-на | А-са-на,"baddha = связанный, соединенный; kona = угол; asana = сиденье, поза","связанный, соединенный + угол + сиденье, поза","указывает связку, захват или соединение; геометрический угол формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: бабочка -> связанный, соединенный + угол + часть названия требует ручной сверки",Таз и раскрытие
AS047,Upavistha Konasana,Упавишта Конасана,широкий угол сидя,У-па-виш-та | Ко-на | А-са-на,"upavistha = сидящий, расположенный сидя; kona = угол; asana = сиденье, поза","сидящий, расположенный сидя + угол + сиденье, поза","указывает сидячее положение; геометрический угол формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: широкий угол сидя -> сидящий, расположенный сидя + угол + часть названия требует ручной сверки",Таз и раскрытие
AS048,Janu Sirsasana,Джану Ширшасана,голова к колену,Джа-ну | Шир-ша-са-на,janu = колено; sirsasana = стойка на голове,колено + стойка на голове,"анатомическое слово для колена; sirsa = голова, asana = поза",Свяжите образ: голова к колену -> колено + стойка на голове,Наклоны вперед
AS049,Paschimottanasana,Пашчимоттанасана,наклон к ногам сидя,Паш-чи-ма | Ут-та-на | А-са-на,"paschima = запад, задняя сторона тела; uttana = интенсивное вытяжение; asana = сиденье, поза",задняя сторона тела + интенсивное вытяжение + поза,в традиционной ориентации задняя поверхность тела называется западной стороной,Свяжите образ: наклон к ногам сидя -> задняя сторона тела + интенсивное вытяжение + поза,Наклоны вперед
AS050,Triang Mukha Eka Pada Paschimottanasana,Трианг Мукха Эка Пада Пашчимоттанасана,наклон с одной ногой в вирасане,Три-анг | Мук-ха | Э-ка | Па-да | Паш-чи-ма | Ут-та-на | А-са-на,"triang = три части; mukha = лицо, направление; eka = один; pada = стопа, нога; paschima = задняя сторона тела; uttana = интенсивное вытяжение; asana = сиденье, поза",три части + одна нога + заднее вытяжение + поза,сложное название описывает форму ног и направление наклона,Свяжите образ: наклон с одной ногой в вирасане -> три части + одна нога + заднее вытяжение + поза,Наклоны вперед
AS051,Gomukhasana,Гомукхасана,поза коровьей головы,Го | Мук-ха | А-са-на,"go = корова; mukha = лицо, морда, направление; asana = сиденье, поза","корова + лицо, морда, направление + сиденье, поза","образ коровы; в сложных словах часто становится частью go-mukha; указывает лицо/морду или направление позы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: поза коровьей головы -> корова + лицо, морда, направление + часть названия требует ручной сверки",Таз и плечи
AS052,Agnistambhasana,Агнистамбхасана,двойной голубь,Аг-ни-стам-бха | А-са-на,"agnistambha = огненный столб; asana = сиденье, поза","огненный столб + сиденье, поза","agni = огонь, stambha = столб; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: двойной голубь -> огненный столб + часть названия требует ручной сверки,Таз и раскрытие
AS053,Krounchasana,Краунчасана,цапля,Кра-ун-ча | А-са-на,"krouncha = цапля, журавль; asana = сиденье, поза","цапля, журавль + сиденье, поза","название птицы, задающей образ формы; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: цапля -> цапля, журавль + часть названия требует ручной сверки",Наклоны и вытяжение ног
AS054,Hanumanasana,Хануманасана,продольный шпагат,Ха-ну-ман | А-са-на,"hanuman = Хануман; asana = сиденье, поза","Хануман + сиденье, поза","герой эпоса Рамаяна, символ преданности и прыжка; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: продольный шпагат -> Хануман + сиденье, поза",Шпагаты и глубокое вытяжение
AS055,Padmasana,Падмасана,лотос,Пад-ма | А-са-на,"padma = лотос; asana = сиденье, поза","лотос + сиденье, поза","символ чистоты и медитативного сидения; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: лотос -> лотос + часть названия требует ручной сверки,Сидячие базовые
AS056,Ardha Baddha Padma Paschimottanasana,Ардха Баддха Падма Пашчимоттанасана,полулотос в наклоне,Ард-ха | Бад-дха | Пад-ма | Паш-чи-ма | Ут-та-на | А-са-на,"ardha = половина; baddha = связанный; padma = лотос; paschima = задняя сторона тела; uttana = интенсивное вытяжение; asana = сиденье, поза",половина + связанный лотос + заднее вытяжение + поза,"название описывает полулотос, захват и наклон вперед",Свяжите образ: полулотос в наклоне -> половина + связанный лотос + заднее вытяжение + поза,Наклоны вперед
AS057,Bharadvajasana I,Бхарадваджасана I,скрутка Бхарадваджи,Бха-рад-вад-жа | А-са-на,"bharadvaja = мудрец Бхарадваджа; asana = сиденье, поза","мудрец Бхарадваджа + сиденье, поза","асана названа в честь ведического мудреца; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: скрутка Бхарадваджи -> мудрец Бхарадваджа + часть названия требует ручной сверки,Скрутки
AS058,Ardha Matsyendrasana,Ардха Матсиендрасана,половинная поза Матсиендры,Ард-ха | Мат-си-ен-дра | А-са-на,"ardha = половина; matsyendra = Матсиендра, владыка рыб; asana = сиденье, поза","половина + Матсиендра, владыка рыб + сиденье, поза","указывает половинную или неполную форму; имя йогина Матсиендранатха; matsya = рыба, indra = владыка; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: половинная поза Матсиендры -> половина + Матсиендра, владыка рыб + часть названия требует ручной сверки",Скрутки
AS059,Marichyasana I,Маричиасана I,наклон Маричи I,Ма-ри-чи | А-са-на | I,"marichi = луч света, мудрец Маричи; asana = сиденье, поза",поза мудреца Маричи,асана названа в честь мудреца Маричи,Свяжите образ: наклон Маричи I -> поза мудреца Маричи,Скрутки и наклоны
AS060,Marichyasana III,Маричиасана III,скрутка Маричи III,Ма-ри-чи | А-са-на | III,"marichi = луч света, мудрец Маричи; asana = сиденье, поза",поза мудреца Маричи,асана названа в честь мудреца Маричи,Свяжите образ: скрутка Маричи III -> поза мудреца Маричи,Скрутки
AS061,Parivrtta Janu Sirsasana,Паривритта Джану Ширшасана,скрученный наклон к ноге,Па-ри-врит-та | Джа-ну | Шир-ша-са-на,"parivrtta = повернутый, скрученный; janu = колено; sirsasana = стойка на голове","повернутый, скрученный + колено + стойка на голове","от идеи вращения или разворота; анатомическое слово для колена; sirsa = голова, asana = поза","Свяжите образ: скрученный наклон к ноге -> повернутый, скрученный + колено + стойка на голове",Боковые вытяжения
AS062,Jathara Parivartanasana,Джатхара Паривартанасана,скрутка живота лежа,Джат-ха-ра | Па-ри-вар-та-на | А-са-на,"jathara = живот; parivartana = поворот, переворачивание; asana = сиденье, поза",живот + поворот + поза,название указывает на скручивание области живота лежа,Свяжите образ: скрутка живота лежа -> живот + поворот + поза,Скрутки лежа
AS063,Supta Matsyendrasana,Супта Матсиендрасана,скрутка лежа,Суп-та | Мат-си-ен-дра | А-са-на,"supta = лежащий; matsyendra = Матсиендра, владыка рыб; asana = сиденье, поза","лежащий + Матсиендра, владыка рыб + сиденье, поза","указывает положение лежа; имя йогина Матсиендранатха; matsya = рыба, indra = владыка; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: скрутка лежа -> лежащий + Матсиендра, владыка рыб + часть названия требует ручной сверки",Скрутки лежа
AS064,Salamba Bhujangasana,Саламба Бхуджангасана,сфинкс,Са-лам-ба | Бху-джан-га | А-са-на,"salamba = с опорой, поддержанный; bhujanga = кобра, змея; asana = сиденье, поза","с опорой, поддержанный + кобра, змея + сиденье, поза","sa = с, alamba = опора; образ поднятой змеи; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: сфинкс -> с опорой, поддержанный + кобра, змея + часть названия требует ручной сверки",Прогибы
AS065,Bhujangasana,Бхуджангасана,кобра,Бху-джан-га | А-са-на,"bhujanga = кобра, змея; asana = сиденье, поза","кобра, змея + сиденье, поза","образ поднятой змеи; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: кобра -> кобра, змея + часть названия требует ручной сверки",Прогибы
AS066,Shalabhasana,Шалабхасана,саранча,Ша-лаб-ха | А-са-на,"shalabha = саранча; asana = сиденье, поза","саранча + сиденье, поза","образ насекомого с поднятым корпусом/ногами; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: саранча -> саранча + часть названия требует ручной сверки,Прогибы
AS067,Dhanurasana,Дханурасана,лук,Дха-ну-р | А-са-на,"dhanur = лук; asana = сиденье, поза",лук + поза,форма тела напоминает натянутый лук,Свяжите образ: лук -> лук + поза,Прогибы
AS068,Ustrasana,Уштрасана,верблюд,Ушт-ра | А-са-на,"ushtra = верблюд; asana = сиденье, поза",верблюд + поза,название связано с образом верблюда и дугой прогиба,Свяжите образ: верблюд -> верблюд + поза,Прогибы
AS069,Setu Bandha Sarvangasana,Сету Бандха Сарвангасана,мост,Се-ту | Банд-ха | Сар-ван-га-са-на,"setu = мост; bandha = замок, связка, соединение; sarvangasana = поза всего тела","мост + замок, связка, соединение + поза всего тела","образ моста; указывает связывание или замкнутую форму; sarva = весь, anga = часть, asana = поза","Свяжите образ: мост -> мост + замок, связка, соединение + поза всего тела",Прогибы и восстановление
AS070,Urdhva Dhanurasana,Урдхва Дханурасана,колесо,Урд-хва | Дха-ну-р | А-са-на,"urdhva = вверх; dhanur = лук; asana = сиденье, поза",вверх + лук + поза,"тело образует поднятую дугу, похожую на лук",Свяжите образ: колесо -> вверх + лук + поза,Прогибы
AS071,Purvottanasana,Пурвоттанасана,обратная планка,Пур-ва | Ут-та-на | А-са-на,"purva = восток, передняя сторона тела; uttana = интенсивное вытяжение; asana = сиденье, поза",передняя сторона тела + интенсивное вытяжение + поза,в йоге передняя поверхность тела часто называется восточной стороной,Свяжите образ: обратная планка -> передняя сторона тела + интенсивное вытяжение + поза,Прогибы и сила
AS072,Matsyasana,Матсиасана,рыба,Мат-сия | А-са-на,"matsya = рыба; asana = сиденье, поза","рыба + сиденье, поза","образ рыбы или имени Матсиендры; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: рыба -> рыба + часть названия требует ручной сверки,Прогибы и раскрытие грудной клетки
AS073,Eka Pada Rajakapotasana Prep,Эка Пада Раджакапотасана Prep,подготовка к позе голубя,Э-ка | Па-да | Ра-джа | Ка-по-та | А-са-на,"eka = один; pada = стопа, нога; raja = царь, король; kapota = голубь; asana = сиденье, поза","один + стопа, нога + царь, король + голубь + сиденье, поза","число один; опора или нога в названии; указывает величие или царскую форму; образ раскрытой грудной клетки голубя; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: подготовка к позе голубя -> один + стопа, нога + царь, король + голубь + часть названия требует ручной сверки",Таз и прогибы
